Unnamed: 0,last_day_services,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency,book_tod_encoded,book_dow_encoded,book_category_encoded,book_staff_encoded,last_category_encoded,last_staff_encoded,last_receipt_tot_encoded,last_dow_encoded,last_tod_encoded
4,1,0,0,35,1,1,0,0,0,0,0,9,1,1,2,4,2,4,7,3,0
5,1,0,0,90,2,2,0,0,0,0,0,14,0,1,2,4,2,4,13,1,1
6,1,0,0,145,3,3,0,0,0,0,0,14,0,1,2,4,2,4,7,1,0
9,1,0,1,30,1,1,0,1,0,0,0,36,0,0,2,0,2,0,24,3,1
17,1,0,0,230,1,1,0,0,0,0,0,42,0,3,2,2,2,1,94,3,0
25,1,0,0,30,1,1,0,0,0,0,0,41,1,0,2,0,2,0,5,1,0
26,1,0,0,80,2,2,0,0,0,0,0,44,0,2,2,0,2,0,10,0,1
30,1,0,0,82,1,1,0,0,0,0,0,99,2,1,2,2,2,2,29,0,2
32,1,0,0,82,1,1,0,0,0,0,0,64,2,5,2,2,2,2,29,4,0
45,1,0,0,40,1,1,0,0,0,0,0,29,0,2,2,2,2,2,8,1,2
46,1,0,0,70,2,2,0,0,0,0,0,33,1,0,2,2,2,2,5,2,0
47,1,0,1,100,3,3,0,1,0,0,0,35,1,0,2,2,2,2,53,0,1
54,1,0,0,82,1,1,0,0,0,0,0,30,1,0,2,2,2,2,29,5,1
55,1,0,0,134,2,2,0,0,0,0,0,15,1,1,2,4,2,2,12,0,1
56,1,0,0,189,3,3,0,0,0,0,0,13,0,0,2,4,2,4,13,1,1
57,1,0,0,189,3,3,0,0,0,0,0,13,0,0,0,3,2,4,13,1,1
58,2,0,1,309,5,4,1,2,0,0,0,26,0,5,2,2,0,3,85,0,0
59,2,0,1,309,5,4,1,2,0,0,0,26,0,5,0,3,0,3,85,0,0
60,2,0,1,446,7,5,2,4,0,0,0,3,2,1,2,2,0,3,63,5,0
74,1,0,0,70,1,1,0,0,0,0,0,56,2,5,2,5,2,5,21,5,2
78,2,0,1,95,2,1,1,2,0,0,0,37,2,1,2,0,0,0,36,3,2
79,2,0,1,95,2,1,1,2,0,0,0,37,2,1,0,3,0,0,36,3,2
80,2,0,1,215,4,2,2,4,0,0,0,33,0,3,2,0,0,3,55,1,2
81,2,0,1,215,4,2,2,4,0,0,0,33,0,3,0,3,0,3,55,1,2
88,1,0,1,40,1,1,0,1,0,0,0,84,0,0,2,2,2,2,22,0,0
90,1,0,0,40,1,1,0,0,0,0,0,51,1,3,2,2,2,2,8,4,2
93,1,0,1,82,1,1,0,1,0,0,0,41,1,3,2,2,2,2,54,0,1
97,1,0,0,55,1,1,0,0,0,0,0,14,0,5,0,4,2,4,13,5,0
99,1,0,0,65,1,0,1,0,0,0,0,35,2,3,0,3,0,3,18,3,1
100,1,0,0,135,2,0,2,0,0,0,0,27,0,5,0,3,0,3,21,3,2
103,2,0,1,282,2,1,1,2,0,0,1,28,2,1,0,3,0,3,103,1,2
108,2,0,1,182,2,1,1,2,0,0,0,14,0,5,2,2,0,3,78,5,2
109,1,0,0,234,3,2,1,2,0,0,0,45,0,1,2,2,2,2,12,5,0
111,1,0,0,40,1,1,0,0,0,0,0,34,0,4,2,2,2,2,8,5,2
112,1,0,0,100,2,2,0,0,0,0,0,32,2,1,2,2,2,2,15,4,0
